Time,User,Checklist,Event, checked
2021-2-1_6-19-59,177575,adrenalin,2. Supine or lateral decubitus?,9
2021-2-1_6-20-1,177575,adrenalin,checkbox_0,1
2021-2-1_6-20-3,177575,adrenalin,checkbox_1,1
2021-2-1_6-20-3,177575,adrenalin,checkbox_1,0
2021-2-1_6-20-5,177575,adrenalin,2. Supine or lateral decubitus?,9
2021-2-1_6-20-44,141216,adrenalin,checkbox_2,1
2021-2-1_6-20-45,141216,adrenalin,3. Oxygen,9
2021-2-1_6-22-45,141216,adrenalin,2. Supine or lateral decubitus?,9
2021-2-1_6-22-47,141216,adrenalin,checkbox_1,1
2021-2-1_6-22-51,141216,adrenalin,checkbox_6,1
2021-2-1_6-22-53,141216,adrenalin,7. Glucagon intravenous?,9
2021-2-1_6-22-58,141216,test, Test1,9
2021-2-1_6-22-59,141216,test,checkbox_0,1
2021-2-1_6-23-1,141216,test,Test2,9
