Time,User,Checklist,Event, checked
2022-1-4_10-56-24,177575,adrenalin,checkbox_0,1
2022-1-4_10-56-30,177575,adrenalin,checkbox_1,1
2022-1-4_10-56-32,177575,adrenalin,checkbox_2,1
2022-1-4_10-56-47,177575,adrenalin,4. Ringer?,9
2022-1-4_10-56-58,177575,adrenalin,checkbox_2,0
2022-1-4_10-57-5,177575,adrenalin,checkbox_2,1
2022-1-4_10-57-6,177575,adrenalin,checkbox_2,0
2022-1-4_10-57-6,177575,adrenalin,checkbox_2,1
2022-1-4_10-57-7,177575,adrenalin,checkbox_2,0
2022-1-4_10-57-7,177575,adrenalin,checkbox_2,1
2022-1-4_10-58-51,141212,adrenalin,checkbox_3,1
2022-1-4_10-58-52,141212,adrenalin,checkbox_4,1
2022-1-4_11-0-38,141212,adrenalin,10. Inläggning Mava,9
