Time,User,Checklist,Event, checked
2022-1-9_18-3-49,177575,astmaanfall,6. Åtgärd 6,9
2022-1-9_18-3-57,177575,astmaanfall,5. Åtgärd 5,9
2022-1-9_18-4-1,177575,astmaanfall,4. Åtgärd 4,9
2022-1-9_18-4-3,177575,astmaanfall,1. Åtgärd 1,9
2022-1-9_18-4-4,177575,astmaanfall,2. Åtgärd 2,9
2022-1-9_18-4-6,177575,astmaanfall,6. Åtgärd 6,9
2022-1-9_18-4-7,177575,astmaanfall,7. Åtgärd 7,9
2022-1-9_18-4-13,177575,anafylaxi,1. Adrenalin intramuscular,9
2022-1-9_18-4-14,177575,anafylaxi,2. Supine or lateral decubitus?,9
2022-1-9_18-4-15,177575,anafylaxi,3. Oxygen,9
2022-1-9_18-4-17,177575,anafylaxi,6. Adrenalin intravenous?,9
2022-1-9_18-4-20,177575,anafylaxi,8. Tavegyl?,9
2022-1-9_18-4-22,177575,anafylaxi,9. Betapred,9
2022-1-9_18-4-30,177575,anafylaxi,9. Betapred,9
2022-1-9_18-4-31,177575,anafylaxi,8. Tavegyl?,9
2022-1-9_18-4-32,177575,anafylaxi,6. Adrenalin intravenous?,9
2022-1-9_18-4-40,177575,anafylaxi,3. Oxygen,9
2022-1-9_18-5-4,177575,anafylaxi,4. Ringer?,9
2022-1-9_18-5-5,177575,anafylaxi,6. Adrenalin intravenous?,9
2022-1-9_18-5-8,177575,anafylaxi,9. Betapred,9
2022-1-9_18-5-10,177575,anafylaxi,1. Adrenalin intramuscular,9
